MO_ULR18_,MO_ULR18_I,CODIGO_VEN,COD_VEN,CLASE_U,DEST,DESTA,DESTAA,DESTAAA,FUENTE,PROFILE_ID,ID_REALA,ID_REALA_NUM,POINT_X,POINT_Y
189,189,364,364 VEN 1964 GU 32,IV,Vertisoles,Usterts,Haplusterts,Entic Haplusterts,INIA,364 VEN 1964 GU 32,364,67,-67.54096274670,8.85475526521
190,190,873,873 VEN 1987 GU 36,IV,Alfisoles,Aqualfs,Endoaqualfs,Typic Endoaqualfs,INIA,873 VEN 1987 GU 36,873,68,-67.53760868590,8.77294709293
191,191,12,12 VEN 1959 GU 5,II,Alfisoles,Udalfs,Rhodudalfs,Typic Rhodudalfs,INIA,12 VEN 1959 GU 5,12,69,-67.53727330040,8.76624110068
192,192,9,9 VEN 1959 GU 2,III,Alfisoles,Aqualfs,Endoaqualfs,Typic Endoaqualfs,INIA,9 VEN 1959 GU 2,9,70,-67.38974866210,8.80413023593
193,193,11,11 VEN 1959 GU 4,,,,,,INIA,11 VEN 1959 GU 4,11,71,-67.32336274670,8.83229497819
195,195,23,23 VEN 1959 GU 11,IV,Ultisoles,Ustults,Plinthustults,Typic Plinthustults,INIA,23 VEN 1959 GU 11,23,72,-67.31565133290,8.84201815812
197,197,10,10 VEN 1959 GU 3,III,Oxisoles,,,,INIA,10 VEN 1959 GU 3,10,73,-67.25261753110,8.82223770338
199,199,874,874 VEN 1987 GU 37,VI,Vertisoles,Usterts,Haplusterts,Entic Haplusterts,INIA,874 VEN 1987 GU 37,874,74,-67.58178791810,8.50049241817
200,200,25,25 VEN 1959 GU 13,VI,Entisoles,Psamments,Quartzipsamments,Ustoxic Quartzipsamments,INIA,25 VEN 1959 GU 13,25,75,-67.60736728140,8.44421614554
201,201,871,871 VEN 1987 GU 34,IV,Vertisoles,Usterts,Haplusterts,Typic Haplusters,INIA,871 VEN 1987 GU 34,871,76,-66.41902026220,9.08796534168
202,202,872,872 VEN 1987 GU 35,VI,Alfisoles,Ustalfs,Natrustalfs,Typic Natrustalfs,INIA,872 VEN 1987 GU 35,872,77,-66.26867610420,9.32060335143
204,204,928,928 VEN 1969 GU 42,,Sin_informa,,,,INIA,928 VEN 1969 GU 42,928,78,-67.43424472850,9.42402786786
205,205,929,929 VEN 1969 GU 43,III,Alfisoles,Ustalfs,Haplustalfs,Lithic Haplustalfs,INIA,929 VEN 1969 GU 43,929,79,-67.42329189370,9.41556494124
206,206,930,930 VEN 1969 GU 44,VI,Alfisoles,Ustalfs,Plinthustalfs,Typic Plinthustalfs,INIA,930 VEN 1969 GU 44,930,80,-67.41221490330,9.42751325190
223,223,878,878 VEN 1978 ME 6,III,Aridisoles,Argids,Paleargids,,INIA,878 VEN 1978 ME 6,878,81,-71.35764724370,8.48353596687
224,224,879,879 VEN 1978 ME 7,VII,Aridisoles,Cambids,Haplocambids,Typic Haplocambids,INIA,879 VEN 1978 ME 7,879,82,-71.38188905480,8.49122234024
225,225,880,880 VEN 1978 ME 8,VI,Aridisoles,Argids,Natrargids,,INIA,880 VEN 1978 ME 8,880,83,-71.35173450940,8.48057951624
226,226,881,881 VEN 1978 ME 9,IV,Aridisoles,Cambids,Haplocambids,Typic Haplocambids,INIA,881 VEN 1978 ME 9,881,84,-71.36947237190,8.47230182764
227,227,882,882 VEN 1978 ME 10,IV,Aridisoles,Argids,Haplargids,Typic Haplargids,INIA,882 VEN 1978 ME 10,882,85,-71.34079610830,8.48590114309
228,228,883,883 VEN 1978 ME 11,IV,Aridisoles,Cambids,Haplocambids,Typic Haplocambids,INIA,883 VEN 1978 ME 11,883,86,-71.35173472320,8.50600415184
229,229,884,884 VEN 1982 ME 12,VI,Entisoles,Orthents,Ustorthents,Typic Ustorthents,INIA,884 VEN 1982 ME 12,884,87,-71.27516598150,8.52995079127
230,230,885,885 VEN 1982 ME 13,VII,Entisoles,Orthents,Ustorthents,Typic Ustorthents,INIA,885 VEN 1982 ME 13,885,88,-71.26984482900,8.53320290657
231,231,891,891 VEN 1988 ME 16,VI,Inceptisoles,Tropepts,Humitropepts,Typic Humitropepts,INIA,891 VEN 1988 ME 16,891,89,-71.35350943240,8.59705772946
232,232,892,892 VEN 1988 ME 15,VII,Inceptisoles,Tropepts,Humitropepts,Oxic Humitropepts,INIA,892 VEN 1988 ME 15,892,90,-71.35439644400,8.60178803699
233,233,893,893 VEN 1988 ME 17,VII,Inceptisoles,Tropepts,Dystropepts,Vertic Dystropepts,INIA,893 VEN 1988 ME 17,893,91,-71.35794413750,8.60622228863
234,234,894,894 VEN 1988 ME 18,VI,Ultisoles,Humults,Haplohumults,Typic Haplohumults,INIA,894 VEN 1988 ME 18,894,92,-71.36474386450,8.60829155410
235,235,908,908 VEN 1978 ME 21,VI,Ultisoles,Udults,Rhodudults,Typic Rhodudults,INIA,908 VEN 1978 ME 21,908,93,-70.93312161730,8.75108583472
236,236,909,909 VEN 1978 ME 22,VII,Ultisoles,Humults,Haplohumults,Typic Haplohumults,INIA,909 VEN 1978 ME 22,909,94,-70.93607801750,8.75522470659
237,237,910,910 VEN 1978 ME 23,VI,Sin_informa,,,,INIA,910 VEN 1978 ME 23,910,95,-70.93548689000,8.76113741546
238,238,911,911 VEN 1978 ME 24,V,Ultisoles,Udults,Hapludults,Typic Hapludults,INIA,911 VEN 1978 ME 24,911,96,-70.93223482190,8.76704997542
239,239,912,912 VEN 1978 ME 25,V,Sin_informa,,,,INIA,912 VEN 1978 ME 25,912,97,-70.92484402380,8.77030169322
240,240,976,976 VEN 1989 ME 28,VII,Ultisoles,Humults,,,INIA,976 VEN 1989 ME 28,976,98,-70.88434217130,8.76025099539
241,241,977,977 VEN 1989 ME 29,VII,Inceptisoles,Tropepts,Humitropepts,Oxic Humitropepts,INIA,977 VEN 1989 ME 29,977,99,-70.87281272370,8.76675513507
242,242,974,974 VEN 1989 ME 26,VII,Sin_informa,,,,INIA,974 VEN 1989 ME 26,974,100,-71.47116646840,8.14976883965
243,243,975,975 VEN 1989 ME 27,VII,Ultisoles,Humults,,,INIA,975 VEN 1989 ME 27,975,101,-71.47205341310,8.15686433659
244,244,978,978 VEN 1989 ME 30,VI,Ultisoles,Humults,,,INIA,978 VEN 1989 ME 30,978,102,-71.44308596300,8.55803357501
245,245,979,979 VEN 1989 ME 31,VI,Ultisoles,Humults,,,INIA,979 VEN 1989 ME 31,979,103,-71.43628620140,8.55951195070
246,246,20,20 VEN 1959 ME 1,,Spodosoles,Orthods,Haplorthods,Typic Haplorthods,INIA,20 VEN 1959 ME 1,20,104,-70.84325023940,8.83475022685
250,250,889,889 VEN 1988 ME 14,VI,Ultisoles,Humults,Haplohumults,Typic Haplohumults,INIA,889 VEN 1988 ME 14,889,105,-71.39003026550,8.64438268706
251,251,890,890 VEN 1988 ME 15,VI,Entisoles,Orthents,Troporthents,Typic Troporthents,INIA,890 VEN 1988 ME 15,890,106,-71.36550475370,8.62868696263
252,252,895,895 VEN 1988 ME 20,VII,Spodosoles,Orthods,Haplorthods,,INIA,895 VEN 1988 ME 20,895,107,-71.37040966330,8.60097334264
270,270,247,247  VEN 1963  MI 30,,,,,,INIA,247  VEN 1963  MI 30,247,108,-66.17142613480,10.40379427920
271,271,963,963  VEN 1988  MI 43,VI,Ultisoles,Ustults,Haplustults,Plinthic Haplustults,INIA,963  VEN 1988  MI 43,963,109,-66.35103163010,10.33535676330
272,272,962,962 VEN 1988  MI 42,III,Inceptisoles,Aquepts,Halaquepts,Aeric Halaquepts,INIA,962 VEN 1988  MI 42,962,110,-66.34675430560,10.34153548340
283,283,961,961 VEN 1988 MI 41,VI,Alfisoles,Ustalfs,Haplustalfs,Lithic Haplustalfs,INIA,961 VEN 1988 MI 41,961,111,-65.80208928610,10.21132111470
296,296,988,988 VEN 1989 MO 28,VI,Inceptisoles,Tropepts,Dystropepts,Lithic Dystropepts,INIA,988 VEN 1989 MO 28,988,112,-63.25438759360,9.60006385209
297,297,990,990 VEN 1989 MO 30,III,Oxisoles,Ustox,Haplustox,Plinthic Haplustox,INIA,990 VEN 1989 MO 30,990,113,-63.25677191440,9.59661918415
298,298,985,985 VEN 1989 MO 25,IV,Inceptisoles,Tropepts,Dystropepts,Typic Dystropepts,INIA,985 VEN 1989 MO 25,985,114,-62.86368823320,9.70893836961
299,299,986,986 VEN 1989 MO 26,VI,Inceptisoles,Aquepts,Tropaquepts,Aeric Tropaquepts,INIA,986 VEN 1989 MO 26,986,115,-62.85969982060,9.70787538438
300,300,2,2 VEN 1959 MO 1,IV,Ultisoles,Ustults,Haplustults,Arenic Haplustults,INIA,2 VEN 1959 MO 1,2,116,-63.08523731100,9.53680592083
302,302,934,934 VEN 1934 MO 16,III,Ultisoles,Ustults,Paleustults,Typic Paleustults,INIA,934 VEN 1934 MO 16,934,117,-62.78648632970,8.63722570481
303,303,932,932 VEN 1973 MO 14,III,Oxisoles,Ustox,Haplustox,Typic Aplustox,INIA,932 VEN 1973 MO 14,932,118,-62.78853109400,8.64008797113
304,304,931,931 VEN 1973 MO 13,,Sin_informa,,,,INIA,931 VEN 1973 MO 13,931,119,-62.79139367480,8.64254175976
305,305,933,933 VEN 1973 MO 15,IV,Entisoles,Psamments,Quartzipsamments,Ustoxic Quartzipsamments,INIA,933 VEN 1973 MO 15,933,120,-62.79384734620,8.64131466696
306,306,935,935 VEN 1974 MO 17,V,Ultisoles,Aquults,Albaquults,Typic Albaquults,INIA,935 VEN 1974 MO 17,935,121,-62.79630113150,8.63967887190
308,308,936,936 VEN 1987 MO 18,III,Ultisoles,Ustults,Paleustults,Typic Paleustults,INIA,936 VEN 1987 MO 18,936,122,-63.61850308950,9.59016995810
309,309,937,937 VEN 1987 MO 19,IV,Inceptisoles,Tropepts,Dystropepts,Typic Dystropepts,INIA,937 VEN 1987 MO 19,937,123,-63.61534231030,9.59558835004
